"","survey_id","site","species","n","range","time","minutes","seconds","days.x","...10","...11","fid","id","weather","start_time","habitat","dom_veg","patch_id","elevation","days.y","sector","start_time_padded","start_time.dec","pres","days"
"1","arienas_idk_1","arienas_idk_1","willow_warbler",1,NA,8.35,8,21,35,NA,NA,95,NA,"Drizzle, still, overcasr, mild",1905,"4","Vurcg, willow",NA,68,NA,"Rahoy","1905",19.0833333333333,1,35
"2","arienas_idk_1","arienas_idk_1","sparrow_hawk",1,NA,14.1333333333333,14,8,35,NA,NA,95,NA,"Drizzle, still, overcasr, mild",1905,"4","Vurcg, willow",NA,68,NA,"Rahoy","1905",19.0833333333333,1,35
"3","arienas_idk_2","arienas_idk_2","willow_warbler",1,NA,11.75,11,45,35,NA,NA,96,NA,"Overcast, mild, showers, breeze",2045,"4","Birch oak",NA,146,NA,"Rahoy","2045",20.75,1,35
"4","arienas_idk_2","arienas_idk_2","great_tit",1,NA,23.3833333333333,23,23,35,NA,NA,96,NA,"Overcast, mild, showers, breeze",2045,"4","Birch oak",NA,146,NA,"Rahoy","2045",20.75,1,35
"5","arienas_idk_2","arienas_idk_2","great_tit",1,NA,24.9833333333333,24,59,35,NA,NA,96,NA,"Overcast, mild, showers, breeze",2045,"4","Birch oak",NA,146,NA,"Rahoy","2045",20.75,1,35
"6","arienas_idk_2","arienas_idk_2","redpoll",1,NA,8.76666666666667,8,46,35,NA,NA,96,NA,"Overcast, mild, showers, breeze",2045,"4","Birch oak",NA,146,NA,"Rahoy","2045",20.75,1,35
"7","Arienas_south_1","Arienas_south_1","willow_warbler",1,22.2,1.26666666666667,1,16,34,NA,NA,94,NA,"Sun, breeze, warm",755,"5","Birch sp, blaeberry, bracken",NA,26,NA,"Rahoy","0755",7.91666666666667,1,34
"8","Arienas_south_1","Arienas_south_1","willow_warbler",1,10.8,10.6333333333333,10,38,34,NA,NA,94,NA,"Sun, breeze, warm",755,"5","Birch sp, blaeberry, bracken",NA,26,NA,"Rahoy","0755",7.91666666666667,1,34
"9","Arienas_south_4","Arienas_south_4","willow_warbler",1,28.5,10.8333333333333,10,50,34,NA,NA,91,NA,"Sun, breeze",610,"4","Birch, willow, oak",NA,26,NA,"Rahoy","0610",6.16666666666667,1,34
"10","Arienas_south_4","Arienas_south_4","willow_warbler",1,28.5,10.8333333333333,10,50,34,NA,NA,92,NA,"Sun, breeze",610,"4","Birch, willow, oak",NA,26,NA,"Rahoy","0610",6.16666666666667,1,34
"11","Arienas_south_5","Arienas_south_5","meadow_pipit",1,163.8,19.9,19,54,34,NA,NA,93,NA,"Sun, breeze, warm",645,"1","Molinia, ling, bog myrtle",NA,22,NA,"Rahoy","0645",6.75,1,34
"12","Arienas_south_5","Arienas_south_5","skylark",2,NA,14.25,14,15,34,NA,NA,93,NA,"Sun, breeze, warm",645,"1","Molinia, ling, bog myrtle",NA,22,NA,"Rahoy","0645",6.75,1,34
"13","Camas_gorm_6","Camas_gorm_6","wood_pigeon",2,NA,24.7,24,42,40,NA,NA,108,NA,"Clouds, mild, breeze",1245,"2","Ling, milinia, birch, bracken",NA,132,NA,"Inninmoore","1245",12.75,1,40
